Nom,Type de vin,Type de vin précision,Degré d'alcool,Brasserie,Pays,Prix,Fruité,Vivacité,Puissance,Epicé/boisé,Visuel,Odeur,Goût,Accompagnements,Description,Url
DEUTZ AMOUR DE DEUTZ ROSÉ 2009,EFFERVESCENT ROSÉ,CHAMPAGNE,12.0,MAISON DEUTZ,FRANCE,173.4,8,6,8,0,"Rose saumon, reflets rosés","Panier de fruits rouges kirschs, épices douces, vanille","Équilibré, délicat, puissant","Viande rouge, Viande blanche, Tapas, Fruits de mer, Poisson","La maison Deutz fut fondée par William Deutz et Pierre-Hubert Geldermann il y a plus de 180 ans sur le prestigieux terroir de l'Aÿ. Capitale du Pinot Noir et terre mère de Champagnes d'exceptions, Aÿ était très appréciée de nombreuses personnalités historiques, notamment François Ier et Henri IV qui y construisirent leurs propres infrastructures viticoles.
La cuvée Amour rosé est un assemblage de Chardonnay et de Pinot Noir, dont 6% viennent de parcelles de vieilles vignes à la situation exceptionnelle. Généreuse, expressive, elle reflète d'une très belle façon l'année 2009. Un rosé champenois de haute couture, aux arômes de fruits rouges kirschés et d'épices douces qui appelle naturellement la table : filet de rouget, carpaccio de bœuf...",https://vandb.fr/deutz-amour-de-deutz-rose-2009.html
L'ENCHANTEUR DE VRAY CROIX DE GAY POMEROL 2016,ROUGE,POMEROL,14.0,CHÂTEAU VRAY CROIX DE GAY,FRANCE,49.9,6,6,10,8,"Rouge grenat, reflets violets","Puissant, fruits confiturés, épices","Dense, complexe, épaulé","Viande rouge, Agneau, Chocolat noir","Appellation voisine de Saint-Émilion bien plus confidentielle, Pomerol compte quelques grands noms comme le fameux Château Pétrus, voisin du Château de Vray Croix de Gay.
Le Château de Vray Croix de Gay est un petit domaine aux grandes qualités. Situé sur un terroir prestigieux, voisins des domaines les plus prestigieux, les vignes sont certifiées AB depuis 2018 et conduites en biodynamie, peu courant dans ce type d'appellation.
Cette belle cuvée composée à 100% de Merlot est élevé en totalité en fut de chêne français, dont seulement 15% de neuf, pour ne pas marquer le vin. C'est un vin qui demande de lui laisser le temps, le temps de grandir, d'affirmer son plein potentiel, d'enchanter les palais des plus fins connaisseurs de grands vins. C'est un vin profond, complexe, et épaulé, mais ne vous méprenez pas, il est bluffant de finesse.",https://vandb.fr/l-enchanteur-de-vray-croix-de-gay-pomerol-2016.html
EMILIE LAURANCE ROSÉ BRUT,EFFERVESCENT ROSÉ,SANS IG,12.0,ORCHIDÉES DE LOIRE,FRANCE,7.0,8,8,4,0,"Rose saumon, reflets gris","Frais, litchi, rose","Convivial, rafraîchissant, simple","Viande blanche, Poisson, Apéro, Tapas, Dessert fruité, Fromage de chèvre","La maison Ackermann est historiquement la première maison de fines bulles du Val de Loire. Fondée par deux associés Jean-Baptiste Ackerman et Jean-Pierre Apollinaire Laurance en 1811 à Saumur. En 1829, leur alliance ne se limite plus uniquement à leur maison de vin, puisque Jean-Baptiste Ackerman épousera Emilie Laurance, la fille de son associé.
C'est à elle qu'il dédie la cuvée Emilie Laurance, un vin effervescent aux arômes de fruits rouges, de litchi et de rose et aux notes subtilement vanillées. Un vin rond et rafraîchissant, idéal en apéritif ou sur un dessert fruité.
Une bulle simple mais efficace qui sera à l'aise lors des grandes tablées en apéritif ou sur un dessert fruité.",https://vandb.fr/emilie-laurance-rose-brut.html
DOMAINE PICARO'S ECLOSION ROUGE 2017,ROUGE,LANGUEDOC,14.0,DOMAINE PICARO'S,FRANCE,10.9,8,4,6,0,"Rouge sombre, reflets violines","Garrigue, prune, cuir","Racé, juteux, sanguin","Viande rouge, Viande blanche, Apéro, Tapas","C'est en 2006 que Pierre-Yves Rouille et Caroline Vioche créent leur domaine dans le Languedoc, à Pezenas, après 3 ans passés au Chili. Picaro's, c'est la contraction des deux prénoms du couple de jeunes parents, qui avaient à cœur de glisser de petits messages aux membres de leur famille sur l'étiquette. C'est aussi une manière de garder un lien avec le Chili, puisque Pícaro signifie en espagnol ""aventurier"" ou ""espiègle"", un mot qui représente bien l'état d'esprit de ces vignerons.
Éclosion, ce nom a sonné comme une évidence pour Pierre-Yves et Caroline quand ils ont commencé à travailler cette parcelle de carignan plantée en 1972. Dans ces vignes âgées de 47 ans, ils ont trouvé une multitude de nids d'oiseaux qui s'y sentaient sans doute bien à l'abri. 1972, c'est aussi l'année de naissance de la vigneronne.
Un 100% carignan avec une belle matière, des tanins souples, des arômes concentrés de fruits rouges et noirs relevés par des notes d'épices et de garrigue. De part sa structure particulièrement douce, Eclosion peut accompagner de nombreux mets, de l'apéritif à la viande rouge et même un poisson en sauce.",https://vandb.fr/domaine-picaro-s-eclosion-rouge-2017.html
MAS THÉO THÉOLAS ROUGE 2017,ROUGE,SANS IG,13.5,DOMAINE MAS THÉO,FRANCE,10.8,6,4,6,0,"Rouge grenat, reflets rosés","Épices, garrigues, fruits noirs","Aérien, enveloppé, méridional","Viande rouge, Viande blanche, Gibier, Barbecue","Laurent Clapier a créé cette cuvée en hommage à son arrière grand-père : Gabriel Théolas. Le vigneron cherche avant tout à faire des vins de plaisir, tout en respectant le fruit et le terroir. Le domaine est certifié bio et biodynamie et les vins sont réalisés sans soufres ajoutés, pour une plus pure expression de son vignoble au cœur de la Drôme provençale.
Si Laurent Clapier est connu pour ses valeurs dans le vignoble, le domaine Mas Théo est également célèbre pour ses impressionnantes caves cathédrales. D'anciennes carrières de roche crayeuse Saint Restitut dans lesquelles Laurent a installé ses chais de vinification et d'élevage. Elles offrent une température et une humidité quasi constante, parfaites pour l'élevage du vin.
La cuvée Théolas dévoile des arômes de fruits noirs, de garrigues et d'épices propres aux vins du Rhône Méridional, mais apporte en plus ce côté aérien dû à l'absence de soufre.",https://vandb.fr/mas-theo-theolas-rouge-2017.html
VIGNOBLE RHONÉA CONFIDENCE ROUGE 2016,ROUGE,BEAUME DE VENISE,15.5,VIGNOBLE RHONÉA,FRANCE,14.7,8,4,8,0,"Rouge grenat, reflets orangés","Torréfaction, pruneau, fruits à noyaux","Concentré, charnu, soyeux","Plats épicés, Viande rouge, Barbecue, Ribs, Agneau","Au cœur des Dentelles de Montmirail, les vignes de l'appellation Beaumes-de-Venise s'enracinent sur un volcan froid. Un phénomène géologique qui crée un terroir unique.
Confidence, c'est une composition parcellaire, une véritable partition qui assemble avec harmonie des vins issus d'une sélection de terroirs. À la dégustation, une symphonie d'arômes intenses nous parvient : la torréfaction, les fruits à noyaux, les fruits mûrs... Las tanins sont soyeux et le bois est joliment intégré à l'ensemble. Confidence est idéal sur une côte de bœuf grillée, un gigot d'agneau à la broche ou même des truffes.",https://vandb.fr/vignoble-rhonea-confidence-rouge-2016.html
VIGNERONS D'AGHIONE DON PAOLU ROUGE 2019,ROUGE,ILE DE BEAUTÉ,12.0,VIGNERONS D'AGHIONE,FRANCE,6.6,8,4,4,0,"Rouge grenat, reflets rosés","Myrtille, tapenade, garrigue","Équilibré, gourmand, charnu","Apéro, Poisson grillé, Barbecue, Tapas","Connue pour ses paysages escarpés, ses plages de sables blancs et ses eaux turquoise, la Corse est aussi un terroir idéal pour la culture du raisin. Cette région montagneuse force les vignerons à établir leurs domaines sur les pourtours de l'île, les vignes bénéficiant ainsi de l'air méditerranéen.
Les vins Don Paolu viennent de la commune d'Aghione, réputée pour ses bains aux vertus médicinales, sur la partie Est de l'île de Beauté. C'est ici, sur un sol argilo-calcaire, que s'épanouit le très emblématique cépage Nielluciu qui signifie ""Noir"" en Corse. Et pour cause, il donne des vins bien colorés, à la structure tannique bien présente. On craque pour ses arômes typiques du Sud : myrtille, tapenade, garrigue ... un grand succès avec un plateau de charcuterie, Corse bien sûr !",https://vandb.fr/vignerons-d-aghione-don-paolu-rouge-2019.html
CAVE DU ROI DAGOBERT GEWURZTRAMINER TRADITION BLANC 2018,BLANC,ALSACE,13.5,CAVE DU ROI DAGOBERT,FRANCE,11.1,10,4,8,0,"Jaune intense, reflets rosés","Muscat, litchi, rose","Puissant, ample, flatteur","Plats épicés, Tarte sucrée, Apéro, Fromages","L'Alsace est un petit vignoble septentrional situé entre la plaine du Rhin et les montagnes Vosgiennes. Paradoxalement, c'est une des régions où il pleut le moins en France, car les vents d'Ouest, chargés d'humidités sont stoppés par les montagnes. L'Alsace peut se vanter de ses superbes étés indiens, qui se prolongent sur une partie de l'automne et qui permettent aux raisins d'aller plus loin dans leur maturité.
C'est une situation qui convient parfaitement au mythique gewurztraminer. Cousin du savagnin du Jura, il fait partie d'une famille à forte personnalité d'origine germanique. Le plus exubérant et extraverti des cépages alsaciens est connu pour ses vins blancs amples et suaves, il dévoile des arômes explosifs de fruits exotiques, d'agrumes, de fleurs et d'épices. En allemand, Gewurztraminer signifie ""épicé"", une invitation pour le marier à une cuisine indienne, thaïlandaise ou même marocaine. S'il éveille les papilles à l'apéritif, le gewurztraminer peut tout aussi bien sublimer un fromage ou relever un dessert.",https://vandb.fr/cave-du-roi-dagobert-gewurztraminer-tradition-blanc-2018.html
VIGNERONS D'AGHIONE DON PAOLU ROSÉ 2019,ROSÉ,ILE DE BEAUTÉ,11.5,VIGNERONS D'AGHIONE,FRANCE,6.6,8,4,2,0,"Rose saumon, reflets violines","fruits rouges gourmands, prune, fraise écrasée","Estival, friand, croquant","Charcuterie, Apéro, Poisson grillé, Barbecue","Petit vignoble au cœur de la Méditerranée, la Corse bénéficie d'un terroir unique entre mer et montagne. Il fait chaud sur l'île de beauté, mais ne vous méprenez pas, les vins gardent tout de même de la fraîcheur ! Les baies de raisins qui poussent sur les hauteurs prennent leur temps pour arriver à maturité et vont réussir à garder de leur vivacité. Ce qui va avoir pour conséquence un jus sur la finesse et l'élégance.
Découvrez le deuxième cépage typique de la Corse : le sciaccarellu ! Son nom signifie ""croquant"", et pour cause, il donne des vins pleins de fruits, plus légers et plus frais que son voisin le niellucciu. Ses arômes gourmands de fruits rouges, de prune et de fraise écrasée en font un rosé de prédilection pour tous vos barbecues, vos piques-niques ou vos soirées d'été en terrasse",https://vandb.fr/vignerons-d-aghione-don-paolu-rose-2019.html
CHAMPAGNE DEVAUX GRANDE RÉSERVE BRUT,EFFERVESCENT BLANC,CHAMPAGNE,12.0,MAISON DEVAUX,FRANCE,29.5,6,6,6,0,Jaune doré,"Floral, Fruits à noyaux (pêche, abricot)","Fin, Structuré, Pêche blanche","Viande blanche, Coquillages et crustacés, Apéro, Poisson","La maison Devaux, c'est la marque phare d'une coopérative haut de gamme qui exploite 90 Hectares sur la côte des Bars.
Un terroir reconnu pour sa capacité a sublimé le Pinot noir. Dirigé par plusieurs veuves qui se sont succédées courageusement depuis 1846, c'est aujourd'hui Pascal Dubois qui est à la tête de la maison et qui entend bien sublimer chaque cuvée.
Grande Réserve est un assemblage de plusieurs crus qui permette d'obtenir un Champagne avec beaucoup de délicatesse et de complexité. Une cuvée dans la dentelle, avec des notes de pêches blanches et de mirabelles qui ravira les plus épicuriens d'entre nous.
En conclusion, la maison Devaux attire l’œil des amateurs de champagne avec des vins pétillants fins, délicats et haut de gamme.",https://vandb.fr/champagne-devaux-grande-reserve-brut.html
CHÂTEAU MEURSAULT BEAUNE 1ER CRU 2017,ROUGE,BEAUNE 1ER CRU,13.5,CHÂTEAU DE MEURSAULT,FRANCE,42.5,6,6,8,6,"Rouge cerise, reflets orangés","Fruits rouges frais, toasté, épicés","Séduisant, tanins délicats, élégant","Viande rouge, Gibier, Ribs","Un savoir-faire ancestral enrichi par des techniques modernes, un patrimoine d'une centaine de parcelles idéalement exposées, des caves datant du 12ème siècle pour le vieillissement des vins. Le château de Meursault réunt tous les atouts nécessaires à la création de grands crus.
Comme le veut la tradition viticole en Bourgogne, ce sont uniquement des pieds de pinot noir qui sont plantés pour la confection des rouges. Un cépage qui trouve dans ces parcelles de Beaune 1er cru, une expression raffinée et élégante. Vendangés à parfaite maturité puis soigneusement triés, les baies sont vinifiées et élevées en fût pendant au minimum un an. Il en résulte une cuvée d'une belle complexité, un nez fruité et de subtiles notes d'élevage et de cuir. Un vin rouge magnifique sur un civet de lièvre ou un fromage de caractère.",https://vandb.fr/chateau-meursault-beaune-1er-cru-2017.html
MANUEL OLIVIER BOURGOGNE ALIGOTÉ 2018,BLANC,BOURGOGNE ALIGOTÉ,12.0,MANUEL OLIVIER,FRANCE,12.1,8,8,4,2,"Jaune vert, reflets verts, limpide et brillant","Fruits blancs juste cueillis, agrumes, noisette","Vif, salivant, gourmand","Viande blanche, Apéro, Fromages, Poisson","Surtout connu pour la réalisation des kirs, saviez-vous que l'aligoté est avant tout un cépage natif de Bourgogne ? Véritable patrimoine de la région, de plus en plus de vignerons le cultivent et le chouchoutent. Ils ont bien raison, l'aligoté est une belle variété, qui s'adapte sans peine à de nombreux types de sols avec un bon potentiel qui donne souvent des vins très appréciés.
Manuel Olivier a créé son domaine en 1990 avec au départ, quelques hectares. 30 ans plus tard, il produit des vins sur les prestigieuses Côte-de-Nuit et Côte-de-Beaune avec un vignoble de plus de 11 hectares. Son Bourgogne Aligoté cassera tous vos a priori. Frais et aromatique, il peut facilement être dégusté seul. Ses arômes gourmands de fruits blancs juste cueillis, d'agrumes et de noisettes se marieront très bien avec des escargots de Bourgogne, un tartare de saumon ou des fromages.",https://vandb.fr/manuel-olivier-bourgogne-aligote-2018.html
MAISON AEGERTER LES JOLIES FILLES PRESTIGE CÔTES DE PROVENCE ROSÉ 2019,ROSÉ,CÔTES DE PROVENCE,13.0,AUCUN,FRANCE,11.6,10,6,4,0,"Rose saumon, reflets gris","Floral, bonbon anglais, fraise","Frais, rond, gourmand",,"Les rosés de Provence ont le vent en poupe auprès de tous les amateurs de cette couleur et on comprend vite pourquoi, on y retrouve le soleil et la beauté de cette région en bouteille.
Monsieur Dutronc disait aussi dans sa célèbre chanson ""J'aime les filles des magazines"", ce qui est sur c'est que cette cuvée fera parler autour de votre table. Cette vraie réussite de la maison Agaerter à tout pour vous charmer. Une bouteille charmante, mais n'allez pas croire que l'on y trouve un rosé fade et sans intérêt, vous serez surpris de son caractère. Une fraîcheur accompagnée d'une belle rondeur, c'est là le secret de cette maison pour une cuvée réussie.
Bonne dégustation !",https://vandb.fr/maison-aegerter-les-jolies-filles-prestige-cotes-de-provence-rose-2019.html
CAVE DU ROI DAGOBERT SYLVANER TRADITION BLANC 2017,BLANC,ALSACE,12.5,CAVE DU ROI DAGOBERT,FRANCE,6.8,6,8,4,0,"Jaune vert pâle, reflets verts","Citron frais, acacia, agrumes","Fraîche, croquante, facile","Viande blanche, Coquillages et crustacés, Poisson, Apéro, Salade de saison","À travers sa gamme de vin, la coopérative alsacienne La Cave du Roi Dagobert vous fait découvrir les cépages traditionnels de la région. Fondée en 1952 à Traenheim, c'est aujourd'hui l'un des acteurs majeurs de la viticulture alsacienne.
D'origine autrichienne, le Sylvaner est un cépage légèrement acidulé qui donne des vins frais, délicats et fluides. Avec ses arômes de fleurs blanches, d'agrumes et d'herbe coupée, c'est un véritable vin de printemps qui nous transporte au grand air de la campagne. Vous préférez le bord de mer ? Ça tombe bien, le Sylvaner est idéal en accompagnement de mets iodés tels qu'un poisson, des huîtres ou une choucroute de la mer.",https://vandb.fr/cave-du-roi-dagobert-sylvaner-tradition-blanc-2017.html
VIGNOBLES BRUMONT PETIT GASTON BLANC 2016,BLANC,PACHERENC DU VIC BILH,14.0,VIGNOBLES BRUMONT,FRANCE,7.9,8,6,4,0,"Jaune or paille, reflets verts","Agrumes frais, citron confit, accessible","Frais, élancé, facile","Fruits de mer, Apéro, Salade de saison, Plats épicés, Poisson grillé","""Petit Gaston"", une cuvée Made in Sud-Ouest qui vous emporte en une gorgée au cœur de la Gascogne. Alain Brumont, vigneron référence du Sud Ouest a voulu son petit Gaston moderne afin de casser les codes de l'appellation ! C'est un vin blanc on ne peut plus sympathique, facile à boire et sur le fruit.
Des arômes de fruits blancs, de la rondeur de la fraîcheur... Il est parfait pour accompagner la cuisine française, orientale, japonaise, du moment qu'on puisse la partager.
Un vin blanc des plus polyvalents particulièrement sympathique et à prix accessible.",https://vandb.fr/vignobles-brumont-petit-gaston-blanc-2016.html
EMILIE LAURANCE BLANC BRUT,EFFERVESCENT BLANC,LOIRE,11.0,ORCHIDÉES DE LOIRE,FRANCE,6.5,6,8,2,0,"Jaune or pâle, reflets verts","Pomme fraîche, agrumes, citron","Festif, accessible, frais","Fruits de mer, Poisson, Apéro, Dessert fruité","Le vignoble du Val de Loire est classé au patrimoine mondial de l'Unesco, un paysage unique ou naissent des vins pleins de richesses et de diversité. La région produit des vins tranquilles réputés, mais aussi de très beaux effervescents.
Produit à partir du chenin, dans les caves de la maison Orchidées de Loire à Saumur, Emilie Laurance est un vin aux bulles fines, aromatique et gourmand qui sublimera tous vos moments de dégustations. La cuvée est élaborée selon la méthode traditionnelle : l'effervescente se créée en bouteille au cours d'une seconde fermentation, c'est la même qui est utilisé pour la production de Champagnes. Une bulle festive et accessible !",https://vandb.fr/emilie-laurance-blanc-brut.html
DE CHANCENY CRÉMANT DE LOIRE DEMI SEC,EFFERVESCENT BLANC,CRÉMANT DE LOIRE,12.5,VIGNERONS DE SAUMUR,FRANCE,8.2,6,8,4,0,"Jaune clair, reflets verts","Amande grillée, fruits secs, litchi","Acidulé, rond, convivial","Tarte sucrée, Apéro, Tapas, Dessert fruité, Desserts chocolatés, Fruits frais","Parmi les 9 méthodes officielles de production de vins effervescents, le Crémant de Loire demi-sec De Chanceny est réalisé grâce à la méthode traditionnelle.
Après l'élaboration d'un vin blanc à partir d'un assemblage de chenin, de chardonnay et de cabernet franc, on ajoute dans la bouteille un mélange de levure et de vin sucré. Les levures vont avoir la belle vie : de la nourriture à volonté, une température idéale.... Jusqu'à ce qu'elles aient consommé tout le sucre et que leur environnement contienne trop d'alcool et de gaz carbonique, triste vie que celle d'une levure. Mais nous avons obtenu une belle fermentation et une belle prise de mousse. Le crémant est dégorgé pour enlever les restes de levures et les pertes sont compensées avec un vin de réserve sucré.
On obtient finalement un Crémant de Loire alliant la fraîcheur du chenin, le fruité du cabernet et le floral du chardonnay. En bouche, il est rond, riche avec une jolie persistance aromatique. Son côté sucré sublimera tous vos desserts : tartes, panacottas, salades de fruits...",https://vandb.fr/de-chanceny-cremant-de-loire-demi-sec.html
CAVE DU ROI DAGOBERT PINOT GRIS TRADITION BLANC 2017,BLANC,ALSACE,13.0,CAVE DU ROI DAGOBERT,FRANCE,9.4,6,6,4,0,"Robe jaune clair, reflets verts","Miellé, épicé, exotique","Opulente, acidulée, ronde","Viande blanche, Tarte sucrée, Apéro, Fromages, Plats épicés","Située à quelques kilomètres de Kirchheim, où le roi Dagobert II avait établi son palais royal au VIIème siècle, c'est tout naturellement que les vignerons ont donné son nom à leur cave. Au Moyen-Âge, les vins de la région étaient servis sur les tables royales et pour assurer leurs approvisionnements, Dagobert II avait fait construire des fermes viticoles tout autour de son palais. Aujourd'hui encore, on fête le roi Dagobert touS les deux ans à Kirchheim lors de grandes fêtes estivales.
Le pinot gris a longtemps été assimilé au célèbre tokay hongrois, avant que des recherches génétiques poussées révèlent ses origines bourguignonnes. C'est un cépage très apprécié pour sa générosité, son équilibre entre rondeur et fraîcheur et sa complexité aromatique. Il développe des arômes de fruits secs, de miel, d'abricot et de pain d'épices et des notes légèrement fumées. Le pinot gris adore les contrastes et il pourra révéler beaucoup de plats : du sucré-salé, une viande rouge, un plat de pommes de terre, un foie gras ou des desserts.",https://vandb.fr/cave-du-roi-dagobert-pinot-gris-tradition-blanc-2017.html
AMALAYA DULCE BLANC 2018,BLANC MOELLEUX,ARGENTINE,12.0,AMALAYA,ARGENTINE,12.5,8,4,4,0,"Jaune or pâle, reflets verts","Banane confite, citron, fruits de la passion","Tendre, doucereux, exotique","Tarte sucrée, Apéro, Fromages, Dessert fruité, Fruits frais","Vous l'aurez compris, la Bodega Amalaya, on l'adore ! Le plus haut vignoble du monde perché à 1 800 mètres d'altitude et qui nous envoie régulièrement l'un des vins Best-seller de V and B : La cuvée Amalaya rouge. Nous vous faisons à présent découvrir la version dulce, un incroyable moelleux argentin aux saveurs uniques.
Les grandes amplitudes thermiques entre le jour et la nuit dues à l'altitude, permettent au vin de concentrer les arômes, tout en conservant de la fraîcheur. Le Torrontes, unique cépage local d'Argentine va exprimer ses arômes de fleurs et de fruits exotiques.
Amalaya Dulce est une cuvée pleine de douceur, un nez d'ananas, de banane confite et de fruits de la passion. Une véritable gourmandise, allégé par la fraîcheur du Riesling. Un vin parfait pour surprendre vos amis à l'apéritif.",https://vandb.fr/amalaya-dulce-blanc-2018.html
CHÂTEAU VIEUX TAILLEFER SAINT EMILION GRAND CRU 2015,ROUGE,SAINT EMILION GRAND CRU,13.5,CHÂTEAU VIEUX TAILLEFER,FRANCE,71.0,6,6,10,6,"Rouge foncé, reflets rosés","Réglisse, billes de fruits noirs, boisé délicat","Racé, sanguin, profond","Viande rouge, Agneau, Gibier","Saint-Émilion est une des zones viticoles qui bénéficie du classement au patrimoine mondial de l'UNESCO. Cette appellation prestigieuse est une des plus connue au monde chez les amateurs de grands vins.
Ce domaine de petite taille, 4,8 hectares, est unique en son genre sur une appellation telle que Saint-Émilion. Avec leur approche plein de bons sens, de respect de leur terroir, de recherche de l'excellence, les vignerons nous offrent leur vision des vins prestigieux.
Une cuvée sublime, précise et rare, c'est un travail d'orfèvre qui a été réalisé pour la création de cette bouteille. Un vin qui nous offre une vision bien tranchée de Saint-Émilion, ici on ne cherche pas une structure trop importante et un boisé trop présent mais bien de la finesse et de l'élégance dans le vin.",https://vandb.fr/chateau-vieux-taillefer-saint-emilion-grand-cru-2015.html
PHILIPPE CHÉRON LES QUARANTE OUVRÉES ROUGE 2015,ROUGE,CHAMBOLLE MUSIGNY,13.0,DOMAINE PHILIPPE CHÉRON,FRANCE,58.3,6,6,10,6,"Rouges rubis, reflets rosés","Petit fruits rouges croquants, sous-bois, floral","Fin, élégant, intense","Viande rouge, Viande blanche, Agneau, Gibier","Dans les années 30, le grand-père de Philippe Chéron fit l'acquisition de différentes parcelles sur la Côtes de Nuit. N'étant pas lui même homme du vin, il en laissa la conduite à des vignerons de Vosnes-Romanée, ne sachant pas encore qu'il allait faire naître une passion chez son petit fils. Après avoir fait ses armes en Bourgogne et dans le Rhône et suivi une formation au lycée viticole de Beaune, Philippe Chéron repris le vignoble en 2011. Il produit aujourd'hui des vins sur plusieurs appellations prestigieuses de la Côte-de-Nuit.
A Chambolle-Musigny, il réalise la cuvée ""Les Quarante Ouvrées"", dans le plus pur style du domaine, elle exprime l'intense fruité du pinot noir. Philippe Chéron réalise des extractions volontairement longues pour obtenir des vins plus concentrés et garder des tanins soyeux et souples. Chambolle-Musigny à la réputation d'être plus ""féminin"" que les autres appellations. loin d'être un vin rouge réservé aux femmes, il s'ouvre sur des notes florales et de petits fruits rouges. Fin et élégant, il sublimera des viandes raffinées comme un gibier à plumes ou un agneau de sept heures.",https://vandb.fr/philippe-cheron-les-quarante-ouvrees-rouge-2015.html
DOMAINE THOMAS BOULEY VOLNAY 2017,ROUGE,VOLNAY,13.0,DOMAINE THOMAS BOULEY,FRANCE,51.0,6,8,8,6,"Rouge rubis, reflets pourpres","Prune, sous-bois épices","Raffiné, ciselé, juteux","Viande rouge, Burger, Agneau","Thomas Bouley est un jeune vigneron qui a pris la succession de son père en 2012, lui aussi fils et petit fils de vigneron. Ce talentueux jeune s'est appuyé sur ces expériences à l'étranger pour appliquer de nouvelles méthodes plus vertes au sein de ce domaine familial de 8Ha réparties sur 29 parcelles. Ce morcellement du domaine est typique de la Bourgogne et rend parfois difficile la compréhension de cette appellation pourtant si prestigieuse.
Ce Volnay a la particularité de ne pas être issu d'une seule parcelle, comme d'usure dans cette région, mais d'un assemblage de 5 parcelles. Il s'en dégage une belle finesse, celle du Pinot noir, souligné par un élevage en fût de 18 mois. C'est une très belle bouteille de Bourgogne, taillée pour la garde et pour une dégustation entre amoureux de grands vins.",https://vandb.fr/domaine-thomas-bouley-volnay-2017.html
CHÂTEAU ARTIGUES ARNAUD PAUILLAC 2011,ROUGE,PAUILLAC,13.0,CHÂTEAU ARTIGUES ARNAUD,FRANCE,25.3,6,6,6,6,"Rouge foncé, reflets tuilés","Nez de fruits à l'eau de vie, humus, complexe","Tanin fondus, persistant, élégant",,"Pauillac est avec Margaux l'une des deux appellations phares du Médoc. C'est cette appellation qui regroupe la majorité des grands crus classés 1855, trois des cinq premiers crus classés sont issus de Pauillac. Ce classement prestigieux, bien que sujet à controverse, est encore une référence dans le bordelais.
Le Château Artigues Arnaud est le nom d'origine du Château Grand-Puy Ducasse. C'est sous ce nom qu'il a figuré au classement de 1855 lorsqu'il a été primé dans les cinquièmes crus. Cette propriété historique est encore, l'une des propriété les plus reconnues de Pauillac.
Ce vin, issu du millésime 2011, est prêt à être consommé après ses quelques années de repos. Cependant elle peut attendre encore quelques années pour arriver à son apogée.
Cette bouteille est le reflet parfait de son appellation. Un vin complexe, charnu, généreux avec une belle maturité et des tanins fondus par le temps. La finale est belle, marquée par des fruits mûrs très agréables.",https://vandb.fr/chateau-artigues-arnaud-pauillac-2011.html
CELLIER DU PIC CABERNET SAUVIGNON ROUGE 2017,ROUGE,VAL DE LOIRE,13.5,CELLIER DU PIC,FRANCE,5.9,6,4,6,0,"Rouge sombre, reflets rosés","Cassis, groseille, figue","Ample, rond, charnu","Viande rouge, Barbecue, Gibier, Ribs, Tapenade d'olives noires","Cette cuvée a été produite en partenariat avec les vignerons du Pic, situés dans le Languedoc, entre le terroir du Pic Saint Loup au Nord et des Grès de Montpellier au Sud. Notre objectif est de vous faire découvrir le cabernet sauvignon, que l'on a rarement l'occasion de déguster seul. Ce cépage typique du bordelais aux baies à la peau épaisse donne des vins tanniques et colorés.
Ici, le cabernet sauvignon s'exprime d'une façon très agréable, gouleyante et aux arômes de fruits bien mûrs. Toujours sur la puissance, le soleil lui retire son côté ""poivron"", souvent signe de sous-maturité, et lui apporte des notes épicées. Un vin dont nous sommes fiers, qui a les épaules pour sublimer un plat de viande au gout prononcé comme de la moussaka ou un gibier.",https://vandb.fr/cellier-du-pic-cabernet-sauvignon-rouge-2017.html
ECHAPPÉE GOURMANDE SYRAH ROUGE 2018,ROUGE,CÔTES DE THONGUE,13.0,L'ARJOLLE,FRANCE,8.1,8,4,4,0,"Rouge pourpre, reflets violets","Coulis fruits noirs, violette, poivre gris","Riche, rond, suave","Viande rouge, Charcuterie, Tapas, Barbecue, Agneau","Cépage roi de la vallée du Rhône, la syrah est une grande voyageuse. Elle est aussi à l'aise dans le Languedoc qu'en Australie, en Afrique du Sud ou en Californie. A l'origine d'appellations prestigieuses comme Châteauneuf du Pape, Côte-Rôtie ou Saint-Joseph, la syrah a connu un bond de popularité dans les années 80 et s'est imposée comme un cépage universel.
La syrah se plait bien sûr les marnes du domaine de l'Arjolle, face à la mer Méditerranée. Son aromatique est surtout dominé par les fruits rouges et noirs, la violette et les épices. Une version plus ensoleillée que dans son Rhône natal, qui fera un super compagnon pour la charcuterie, les grillades et les tapas.",https://vandb.fr/echappee-gourmande-syrah-rouge-2018.html
IDYLL VICTORIA BLANC 2018,BLANC,AUSTRALIE,12.5,IDYLL WINE,AUSTRALIE,9.0,8,4,6,0,"Jaune paille, reflets dorés","Citron confit, miel, tabac blond","Ronde, exotique, rebondi","Viande blanche, Fruits de mer, Poisson, Apéro, Fromages","L’Etat de Victoria est le plus petit d’Australie. Situé au Sud-Est, c’était autrefois la principale région productrice de vin australien. Malheureusement, tous les vignobles ont été détruits par le puceron Phylloxera il y a 50 ans.
Né en 1966, le Domaine Idyll est l’un des premiers à avoir été replanté. De nombreux cépages y sont travaillés, comme le Chardonnay. Il s’exprime sur le territoire australien par des arômes citronnés adoucis de notes miel et de tabac blond. Une merveille avec un poisson blanc ou une volaille à la crème.
Un Chardonnay exotique et dans l'air du temps.",https://vandb.fr/idyll-victoria-blanc-2018.html
